id,url,method,path,auth_level,degree
b38023dae87e,https://www.zhihu.com,GET,/,none,65
36a23c1a3596,https://www.zhihu.com/app,GET,/app,none,7
64d5e7c9afbc,https://www.zhihu.com/org/signup,GET,/org/signup,none,2
8eacb40929dc,https://www.zhihu.com/contact,GET,/contact,none,25
41ab59f0556e,https://www.zhihu.com/roundtable,GET,/roundtable,none,40
a75bb208e77c,https://www.zhihu.com/term/child-jubao,GET,/term/child-jubao,none,6
76572bbfc156,https://www.zhihu.com/term/zhihu-terms,GET,/term/zhihu-terms,none,13
af6b0fdbcd46,https://www.zhihu.com/term/algorithm-recommend-report,GET,/term/algorithm-recommend-report,none,6
bf1c62b873c1,https://www.zhihu.com/term/privacy,GET,/term/privacy,none,42
31790f9fd0f3,https://www.zhihu.com/explore,GET,/explore,none,107
0d64b4ba2472,https://www.zhihu.com/certificates,GET,/certificates,none,10
a2ecd46e0726,https://www.zhihu.com/,GET,/,none,19
1f14f1dcdd27,https://www.zhihu.com/signin?next=%2Fhot,GET,/signin,none,3
9ba72de0d47a,https://www.zhihu.com/signin?next=%2Fcolumn-square,GET,/signin,none,8
cd9b22baada7,https://www.zhihu.com/signin?next=%2F,GET,/signin,none,3
6a3e6fd1e3e9,https://www.zhihu.com/fiore/h5/vip-web,GET,/fiore/h5/vip-web,none,46
e2296fe624a0,https://www.zhihu.com/signin?next=%2Fring-feeds,GET,/signin,none,3
38bc4a52c8a0,https://www.zhihu.com/signin?next=%2Ffollow,GET,/signin,none,3
a42a0065de08,https://www.zhihu.com/project/square,GET,/project/square,none,20
eb6dda079286,https://www.zhihu.com/roundtable/opc,GET,/roundtable/opc,none,35
fdc5bda34544,https://www.zhihu.com/roundtable/worldmodel,GET,/roundtable/worldmodel,none,8
ee700256f9b1,https://www.zhihu.com/roundtable/jiunengyuanqiche,GET,/roundtable/jiunengyuanqiche,none,39
7895af578f41,https://www.zhihu.com/roundtable/gaokaozhuanye,GET,/roundtable/gaokaozhuanye,none,53
24f1e0449e6b,https://www.zhihu.com/host/roundtable/application,GET,/host/roundtable/application,none,3
8f983e252814,https://www.zhihu.com/roundtable/syhtjxs,GET,/roundtable/syhtjxs,none,32
f311ab5255c2,https://www.zhihu.com/roundtable/yiqishoucangrenleimeihao,GET,/roundtable/yiqishoucangrenleimeihao,none,40
b10bf8dd49f3,https://www.zhihu.com/roundtable/2026worldcup,GET,/roundtable/2026worldcup,none,22
6874170202f4,https://www.zhihu.com/roundtable/2026msi,GET,/roundtable/2026msi,none,26
d35abe568137,https://www.zhihu.com/roundtable/keyandiyike,GET,/roundtable/keyandiyike,none,10
75159a91b97d,https://www.zhihu.com/roundtable/zufangxinshoucun,GET,/roundtable/zufangxinshoucun,none,28
ffab63f2ec3e,https://www.zhihu.com/term/institution-settle,GET,/term/institution-settle,none,15
3264af702db5,https://www.zhihu.com/term/institution-usage,GET,/term/institution-usage,none,12
0340053a168d,https://www.zhihu.com/column/c_1280179753018777600,GET,/column/c_1280179753018777600,none,2
efcdcc31e65e,https://www.zhihu.com/term/deactive,GET,/term/deactive,none,3
6779cf3c6fa0,https://www.zhihu.com/term/privacy#获取您的个人信息,GET,/term/privacy,none,7
c6dd02012c6b,https://www.zhihu.com/term/privacy#撤回您的授权同意,GET,/term/privacy,none,3
d421a6d6d5e2,https://www.zhihu.com/term/privacy#概念及定义,GET,/term/privacy,none,3
68ee25417197,https://www.zhihu.com/term/privacy#我们如何保护您的个人信息,GET,/term/privacy,none,3
7d8a3dbbad1b,https://www.zhihu.com/term/privacy#知乎-App-所调用的系统权限,GET,/term/privacy,none,3
3b20db61904a,https://www.zhihu.com/term/privacy#除同意外的其他合法性事由,GET,/term/privacy,none,3
aac88aa80638,https://www.zhihu.com/term/privacy#公开披露您的个人信息,GET,/term/privacy,none,3
8f4f6e9a62fa,https://www.zhihu.com/term/sdk,GET,/term/sdk,none,29
e80fda41a1c8,https://www.zhihu.com/term/privacy#我们如何更新与修改本指引,GET,/term/privacy,none,5
d6492c8263f6,https://www.zhihu.com/term/privacy#我们将在以下业务场景收集和使用您的个人信息：,GET,/term/privacy,none,3
6f13d988dcda,https://www.zhihu.com/term/old-privacy-5,GET,/term/old-privacy-5,none,31
7c5e809fb46d,https://www.zhihu.com/term/realname-authentication,GET,/term/realname-authentication,none,1
